,time,row_384,column_384,rfu_value,standard_conc,replicate,sample_set,reporter
185,00:06:00,J,3,2016.2979999999998,5,a,standard,standard
186,00:06:00,K,3,1982.075,5,b,standard,standard
187,00:06:00,L,3,45.631,,b,target_added,r5A-GGAGG-phos
188,00:06:00,M,3,5.704,,b,no_target,r5A-GGAGG-phos
189,00:06:00,N,3,11.408,,b,no_gRNA,r5A-GGAGG-phos
190,00:06:00,J,5,704.421,2.5,a,standard,standard
191,00:06:00,K,5,673.05,2.5,b,standard,standard
192,00:06:00,L,5,827.053,,a,target_added,r5A-AAAGG-ddC
193,00:06:00,M,5,14.26,,a,no_target,r5A-AAAGG-ddC
194,00:06:00,N,5,31.371,,a,no_gRNA,r5A-AAAGG-ddC
195,00:06:00,J,7,316.562,1.25,a,standard,standard
196,00:06:00,K,7,219.597,1.25,b,standard,standard
197,00:06:00,L,7,715.829,,b,target_added,r5A-AAAGG-ddC
198,00:06:00,M,7,11.408,,b,no_target,r5A-AAAGG-ddC
199,00:06:00,N,7,5.704,,b,no_gRNA,r5A-AAAGG-ddC
200,00:06:00,J,9,114.07600000000001,0.625,a,standard,standard
201,00:06:00,K,9,102.669,0.625,b,standard,standard
202,00:06:00,L,9,5193.323,,a,target_added,r17A-r3C
203,00:06:00,M,9,313.71,,a,no_target,r17A-r3C
204,00:06:00,N,9,587.493,,a,no_gRNA,r17A-r3C
205,00:06:00,J,11,82.705,0.3125,a,standard,standard
206,00:06:00,K,11,108.37200000000001,0.3125,b,standard,standard
207,00:06:00,L,11,4825.427,,b,target_added,r17A-r3C
208,00:06:00,M,11,302.302,,b,no_target,r17A-r3C
209,00:06:00,N,11,838.461,,b,no_gRNA,r17A-r3C
210,00:06:00,J,13,59.89,0.15625,a,standard,standard
211,00:06:00,K,13,57.038000000000004,0.15625,b,standard,standard
212,00:06:00,L,13,59.89,,a,target_added,H20
213,00:06:00,M,13,34.223,,a,no_target,H20
214,00:06:00,N,13,11.408,,a,no_gRNA,H20
215,00:06:00,J,15,65.594,0.078125,a,standard,standard
216,00:06:00,K,15,105.521,0.078125,b,standard,standard
217,00:06:00,L,15,14.26,,b,target_added,H20
218,00:06:00,M,15,17.111,,b,no_target,H20
219,00:06:00,N,15,17.111,,b,no_gRNA,H20
220,00:06:00,J,17,68.446,0.0390625,a,standard,standard
221,00:06:00,K,17,74.15,0.0390625,b,standard,standard
