,time,row_384,column_384,rfu_value,replicate,target_added,reporter,phos,gRNA_used
256,00:50:00,E,10,266.922,a,target_added,RNA-FAM,phos,IVT-G8
257,00:50:00,F,10,279.848,a,target_added,RNA-FAM,phos,IVT-G8
258,00:50:00,G,10,193.96200000000002,b,no_target,RNA-FAM,phos,IVT-G8
259,00:50:00,H,10,185.475,b,no_target,RNA-FAM,phos,IVT-G8
260,00:50:00,E,12,342.345,a,target_added,RNA-FAM,phos,IVT-C4
261,00:50:00,F,12,362.407,a,target_added,RNA-FAM,phos,IVT-C4
262,00:50:00,G,12,170.63,b,no_target,RNA-FAM,phos,IVT-C4
263,00:50:00,H,12,174.63400000000001,b,no_target,RNA-FAM,phos,IVT-C4
264,00:50:00,E,14,378.07599999999996,a,target_added,RNA-FAM,no_phos,syn-11C
265,00:50:00,F,14,382.82300000000004,a,target_added,RNA-FAM,no_phos,syn-11C
266,00:50:00,G,14,237.63099999999997,b,no_target,RNA-FAM,no_phos,syn-11C
267,00:50:00,H,14,170.613,b,no_target,RNA-FAM,no_phos,syn-11C
268,00:50:00,E,16,429.836,a,target_added,RNA-FAM,no_phos,IVT-11C
269,00:50:00,F,16,418.84,a,target_added,RNA-FAM,no_phos,IVT-11C
270,00:50:00,G,16,183.27200000000002,b,no_target,RNA-FAM,no_phos,IVT-11C
271,00:50:00,H,16,182.808,b,no_target,RNA-FAM,no_phos,IVT-11C
272,00:50:00,E,18,270.315,a,target_added,RNA-FAM,no_phos,IVT-B1
273,00:50:00,F,18,269.746,a,target_added,RNA-FAM,no_phos,IVT-B1
274,00:50:00,G,18,187.46900000000002,b,no_target,RNA-FAM,no_phos,IVT-B1
275,00:50:00,H,18,189.074,b,no_target,RNA-FAM,no_phos,IVT-B1
276,00:50:00,E,20,363.974,a,target_added,RNA-FAM,no_phos,IVT-H6
277,00:50:00,F,20,361.80699999999996,a,target_added,RNA-FAM,no_phos,IVT-H6
278,00:50:00,G,20,184.037,b,no_target,RNA-FAM,no_phos,IVT-H6
279,00:50:00,H,20,196.745,b,no_target,RNA-FAM,no_phos,IVT-H6
280,00:50:00,E,22,275.058,a,target_added,RNA-FAM,no_phos,IVT-G8
281,00:50:00,F,22,259.39599999999996,a,target_added,RNA-FAM,no_phos,IVT-G8
282,00:50:00,G,22,190.919,b,no_target,RNA-FAM,no_phos,IVT-G8
283,00:50:00,H,22,195.887,b,no_target,RNA-FAM,no_phos,IVT-G8
284,00:50:00,E,24,329.80199999999996,a,target_added,RNA-FAM,no_phos,IVT-C4
285,00:50:00,F,24,339.476,a,target_added,RNA-FAM,no_phos,IVT-C4
286,00:50:00,G,24,182.555,b,no_target,RNA-FAM,no_phos,IVT-C4
287,00:50:00,H,24,187.28,b,no_target,RNA-FAM,no_phos,IVT-C4
288,01:00:00,E,2,448.74699999999996,a,target_added,RNA-FAM,phos,syn-11C
289,01:00:00,F,2,463.69699999999995,a,target_added,RNA-FAM,phos,syn-11C
290,01:00:00,G,2,174.726,b,no_target,RNA-FAM,phos,syn-11C
291,01:00:00,H,2,177.08,b,no_target,RNA-FAM,phos,syn-11C
292,01:00:00,E,4,460.80800000000005,a,target_added,RNA-FAM,phos,IVT-11C
293,01:00:00,F,4,550.534,a,target_added,RNA-FAM,phos,IVT-11C
294,01:00:00,G,4,170.144,b,no_target,RNA-FAM,phos,IVT-11C
295,01:00:00,H,4,169.84400000000002,b,no_target,RNA-FAM,phos,IVT-11C
296,01:00:00,E,6,253.93900000000002,a,target_added,RNA-FAM,phos,IVT-B1
297,01:00:00,F,6,268.608,a,target_added,RNA-FAM,phos,IVT-B1
298,01:00:00,G,6,174.956,b,no_target,RNA-FAM,phos,IVT-B1
299,01:00:00,H,6,173.99099999999999,b,no_target,RNA-FAM,phos,IVT-B1
300,01:00:00,E,8,445.926,a,target_added,RNA-FAM,phos,IVT-H6
301,01:00:00,F,8,417.486,a,target_added,RNA-FAM,phos,IVT-H6
