,time,row_384,column_384,rfu_value,replicate,sample_set,standard_conc,reporter,gRNA,target_DNA,target_DNA_input_concentration,target_DNA_input_DNA_molecules,hours,minutes,seconds,cas12a_timing,cas12a_minutes
234,00:10:00,K,5,277.842,a,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,40pM,2.4E8,00,10,00,3hr,180
236,00:10:00,M,5,232097.53100000002,a,NANCI_UMP_sample,,r17U-TTATT-phos,TB_96_pool,h37rV,100ng,2E7,00,10,00,3hr,180
238,00:10:00,O,5,229311.891,c,NANCI_UMP_sample,,r17U-TTATT-phos,TB_96_pool,h37rV,100ng,2E7,00,10,00,3hr,180
240,00:10:00,A,7,447.715,a,NANCI_UMP_standard,1.25,,,,,,00,10,00,NANCI_UMP_standard,0
241,00:10:00,B,7,431.879,b,NANCI_UMP_standard,1.25,,,,,,00,10,00,NANCI_UMP_standard,0
242,00:10:00,C,7,506.73800000000006,c,NANCI_UMP_standard,1.25,,,,,,00,10,00,NANCI_UMP_standard,0
244,00:10:00,E,7,141.08,a,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS6110_A7,4nM,2.4E10,00,10,00,30mins,30
246,00:10:00,G,7,120.926,a,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS6110_A7,4nM,2.4E10,00,10,00,1hr,60
248,00:10:00,I,7,185.708,a,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS6110_A7,4nM,2.4E10,00,10,00,2hr,120
250,00:10:00,K,7,195.785,a,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS6110_A7,4nM,2.4E10,00,10,00,3hr,180
252,00:10:00,M,7,240166.453,a,NANCI_UMP_sample,,r17U-TTATT-phos,TB_96_pool,none,0ng,0,00,10,00,3hr,180
254,00:10:00,O,7,251188.0,c,NANCI_UMP_sample,,r17U-TTATT-phos,TB_96_pool,none,0ng,0,00,10,00,3hr,180
256,00:10:00,A,9,208.74200000000002,a,NANCI_UMP_standard,0.625,,,,,,00,10,00,NANCI_UMP_standard,0
257,00:10:00,B,9,259.127,b,NANCI_UMP_standard,0.625,,,,,,00,10,00,NANCI_UMP_standard,0
258,00:10:00,C,9,269.205,c,NANCI_UMP_standard,0.625,,,,,,00,10,00,NANCI_UMP_standard,0
260,00:10:00,E,9,3116.7270000000003,b,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,4nM,2.4E10,00,10,00,30mins,30
262,00:10:00,G,9,4256.887,b,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,4nM,2.4E10,00,10,00,1hr,60
264,00:10:00,I,9,7569.399,b,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,4nM,2.4E10,00,10,00,2hr,120
266,00:10:00,K,9,7408.164000000001,b,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,4nM,2.4E10,00,10,00,3hr,180
268,00:10:00,M,9,205.862,a,NANCI_UMP_sample,,r17U-TTATT-phos,no_gRNA,IS1081_H6,4nM,2.4E10,00,10,00,3hr,180
270,00:10:00,O,9,188.58700000000002,c,NANCI_UMP_sample,,r17U-TTATT-phos,no_gRNA,IS1081_H6,,,00,10,00,3hr,180
272,00:10:00,A,11,143.96,a,NANCI_UMP_standard,0.3125,,,,,,00,10,00,NANCI_UMP_standard,0
273,00:10:00,B,11,133.882,b,NANCI_UMP_standard,0.3125,,,,,,00,10,00,NANCI_UMP_standard,0
274,00:10:00,C,11,194.34599999999998,c,NANCI_UMP_standard,0.3125,,,,,,00,10,00,NANCI_UMP_standard,0
276,00:10:00,E,11,443.39599999999996,b,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,400pM,2.4E9,00,10,00,30mins,30
278,00:10:00,G,11,1157.4360000000001,b,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,400pM,2.4E9,00,10,00,1hr,60
280,00:10:00,I,11,961.6510000000001,b,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,400pM,2.4E9,00,10,00,2hr,120
282,00:10:00,K,11,1294.197,b,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,400pM,2.4E9,00,10,00,3hr,180
284,00:10:00,M,11,221.69799999999998,a,NANCI_UMP_sample,,r17U-TTATT-phos,IS1081_H6,none,0nM,0,00,10,00,3hr,180
286,00:10:00,O,11,179.95,c,NANCI_UMP_sample,,r17U-TTATT-phos,IS1081_H6,none,,,00,10,00,3hr,180
288,00:10:00,A,13,70.54,a,NANCI_UMP_standard,0.15625,,,,,,00,10,00,NANCI_UMP_standard,0
289,00:10:00,B,13,97.89299999999999,b,NANCI_UMP_standard,0.15625,,,,,,00,10,00,NANCI_UMP_standard,0
290,00:10:00,C,13,95.01299999999999,c,NANCI_UMP_standard,0.15625,,,,,,00,10,00,NANCI_UMP_standard,0
292,00:10:00,E,13,164.114,b,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,40pM,2.4E8,00,10,00,30mins,30
294,00:10:00,G,13,161.235,b,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,40pM,2.4E8,00,10,00,1hr,60
296,00:10:00,I,13,211.62099999999998,b,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,40pM,2.4E8,00,10,00,2hr,120
298,00:10:00,K,13,266.325,b,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,40pM,2.4E8,00,10,00,3hr,180
300,00:10:00,M,13,256295.703,b,NANCI_UMP_sample,,r17U-TTATT-phos,IS1081_H6_IVT,IS1081_H6,4nM,2.4E10,00,10,00,3hr,180
302,00:10:00,O,13,82.057,,,,r17U-TTATT-phos,,,,,00,10,00,,
304,00:10:00,A,15,47.507,a,NANCI_UMP_standard,0.078125,,,,,,00,10,00,NANCI_UMP_standard,0
305,00:10:00,B,15,51.825,b,NANCI_UMP_standard,0.078125,,,,,,00,10,00,NANCI_UMP_standard,0
306,00:10:00,C,15,76.29899999999999,c,NANCI_UMP_standard,0.078125,,,,,,00,10,00,NANCI_UMP_standard,0
308,00:10:00,E,15,164.114,b,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS6110_A7,4nM,2.4E10,00,10,00,30mins,30
310,00:10:00,G,15,110.84899999999999,b,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS6110_A7,4nM,2.4E10,00,10,00,1hr,60
312,00:10:00,I,15,154.037,b,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS6110_A7,4nM,2.4E10,00,10,00,2hr,120
314,00:10:00,K,15,205.862,b,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS6110_A7,4nM,2.4E10,00,10,00,3hr,180
316,00:10:00,M,15,257322.141,b,NANCI_UMP_sample,,r17U-TTATT-phos,IS1081_H6_IVT,none,0nM,0,00,10,00,3hr,180
318,00:10:00,O,15,84.936,,,,r17U-TTATT-phos,,,,,00,10,00,,
320,00:10:00,A,17,43.188,a,NANCI_UMP_standard,0.0390625,,,,,,00,10,00,NANCI_UMP_standard,0
321,00:10:00,B,17,33.111,b,NANCI_UMP_standard,0.0390625,,,,,,00,10,00,NANCI_UMP_standard,0
