,experiment,read,read_number,row,column,well,rfu_value,sample_set,concentration,concentration_target_molecules,concentration_target_molecules_number
90,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,1,B,8,B8,1360.08,NANCY_DREW,40nM-mismatched-target,2.4E10-mismatched-target,2.4E10
91,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,2,B,8,B8,1377.38,NANCY_DREW,40nM-mismatched-target,2.4E10-mismatched-target,2.4E10
92,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,3,B,8,B8,1350.38,NANCY_DREW,40nM-mismatched-target,2.4E10-mismatched-target,2.4E10
93,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,4,B,8,B8,1373.18,NANCY_DREW,40nM-mismatched-target,2.4E10-mismatched-target,2.4E10
94,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,5,B,8,B8,1345.58,NANCY_DREW,40nM-mismatched-target,2.4E10-mismatched-target,2.4E10
95,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,6,B,8,B8,1388.38,NANCY_DREW,40nM-mismatched-target,2.4E10-mismatched-target,2.4E10
96,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,1,C,1,C1,1560.8,NANCY_DREW,no_reporter,no_reporter,0
97,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,2,C,1,C1,1574.9,NANCY_DREW,no_reporter,no_reporter,0
98,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,3,C,1,C1,1557.1,NANCY_DREW,no_reporter,no_reporter,0
99,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,4,C,1,C1,1536.2,NANCY_DREW,no_reporter,no_reporter,0
100,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,5,C,1,C1,1538.2,NANCY_DREW,no_reporter,no_reporter,0
101,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,6,C,1,C1,1533.6,NANCY_DREW,no_reporter,no_reporter,0
102,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,1,C,2,C2,1830.54,NANCY_DREW,40nM,2.4E10,2.4E10
103,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,2,C,2,C2,1815.74,NANCY_DREW,40nM,2.4E10,2.4E10
104,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,3,C,2,C2,1790.13,NANCY_DREW,40nM,2.4E10,2.4E10
105,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,4,C,2,C2,1848.84,NANCY_DREW,40nM,2.4E10,2.4E10
106,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,5,C,2,C2,1842.14,NANCY_DREW,40nM,2.4E10,2.4E10
107,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,6,C,2,C2,1844.44,NANCY_DREW,40nM,2.4E10,2.4E10
108,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,1,C,3,C3,1490.49,NANCY_DREW,4nM,2.4E9,2.4E9
109,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,2,C,3,C3,1532.8,NANCY_DREW,4nM,2.4E9,2.4E9
110,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,3,C,3,C3,1518.2,NANCY_DREW,4nM,2.4E9,2.4E9
111,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,4,C,3,C3,1515.0,NANCY_DREW,4nM,2.4E9,2.4E9
112,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,5,C,3,C3,1575.4,NANCY_DREW,4nM,2.4E9,2.4E9
113,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,6,C,3,C3,1486.99,NANCY_DREW,4nM,2.4E9,2.4E9
114,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,1,C,4,C4,1345.58,NANCY_DREW,400pM,2.4E8,2.4E8
115,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,2,C,4,C4,1364.78,NANCY_DREW,400pM,2.4E8,2.4E8
116,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,3,C,4,C4,1355.58,NANCY_DREW,400pM,2.4E8,2.4E8
117,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,4,C,4,C4,1342.38,NANCY_DREW,400pM,2.4E8,2.4E8
118,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,5,C,4,C4,1374.18,NANCY_DREW,400pM,2.4E8,2.4E8
119,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,6,C,4,C4,1365.68,NANCY_DREW,400pM,2.4E8,2.4E8
120,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,1,C,5,C5,1445.19,NANCY_DREW,40pM,2.4E7,2.4E7
121,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,2,C,5,C5,1412.18,NANCY_DREW,40pM,2.4E7,2.4E7
122,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,3,C,5,C5,1429.09,NANCY_DREW,40pM,2.4E7,2.4E7
123,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,4,C,5,C5,1407.78,NANCY_DREW,40pM,2.4E7,2.4E7
124,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,5,C,5,C5,1419.18,NANCY_DREW,40pM,2.4E7,2.4E7
125,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,6,C,5,C5,1386.28,NANCY_DREW,40pM,2.4E7,2.4E7
126,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,1,C,6,C6,1415.38,NANCY_DREW,4pM,2.4E6,2.4E6
127,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,2,C,6,C6,1362.98,NANCY_DREW,4pM,2.4E6,2.4E6
128,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,3,C,6,C6,1410.08,NANCY_DREW,4pM,2.4E6,2.4E6
129,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,4,C,6,C6,1366.58,NANCY_DREW,4pM,2.4E6,2.4E6
130,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,5,C,6,C6,1367.48,NANCY_DREW,4pM,2.4E6,2.4E6
131,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,6,C,6,C6,1349.18,NANCY_DREW,4pM,2.4E6,2.4E6
132,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,1,C,7,C7,1365.18,NANCY_DREW,400fM,2.4E5,2.4E5
133,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,2,C,7,C7,1379.48,NANCY_DREW,400fM,2.4E5,2.4E5
