,time,row_384,column_384,rfu_value,replicate,sample_set,standard_conc,reporter,RNAseT,gRNA,target,background_DNA,background_DNA_mass,hours,minutes,seconds,kit
121,00:10:00,G,3,131.403,a,AMP_background,,r17Ar3C,RNAseT,syn_11C,no_target,CRE_RR013,40ng,00,10,00,AMP
122,00:10:00,I,3,55.916,b,AMP_background,,r17Ar3C,RNAseT,syn_11C,no_target,human_HEK293,40ng,00,10,00,AMP
123,00:10:00,K,3,3919.721,c,AMP_background,,r17Ar3C,RNAseT,syn_11C,target_added,CRE_RR013,40ng,00,10,00,AMP
124,00:10:00,M,3,19.571,a,IS_gRNAs,,no_reporter,RNAseT,IS6110_A7,IS6110_A7,none,none,00,10,00,AMP
125,00:10:00,N,3,11.183,b,IS_gRNAs,,no_reporter,RNAseT,IS6110_A7,IS6110_A7,none,none,00,10,00,AMP
126,00:10:00,A,5,2902.048,a,AMP_standard,2.5,,,,,,,00,10,00,AMP
127,00:10:00,B,5,3276.686,b,AMP_standard,2.5,,,,,,,00,10,00,AMP
128,00:10:00,C,5,2952.372,c,AMP_standard,2.5,,,,,,,00,10,00,AMP
129,00:10:00,E,5,7185.224,a,AMP_background,,r17Ar3C,RNAseT,syn_11C,target_added,human_HEK293,4ng,00,10,00,AMP
130,00:10:00,G,5,136.995,a,AMP_background,,r17Ar3C,RNAseT,syn_11C,no_target,CRE_RR013,4ng,00,10,00,AMP
131,00:10:00,I,5,136.995,b,AMP_background,,r17Ar3C,RNAseT,syn_11C,no_target,human_HEK293,4ng,00,10,00,AMP
132,00:10:00,K,5,6606.492,c,AMP_background,,r17Ar3C,RNAseT,syn_11C,target_added,CRE_RR013,4ng,00,10,00,AMP
133,00:10:00,M,5,61.508,a,IS_gRNAs,,r17Ar3C,RNAseT,no_gRNA,IS6110_A7,none,none,00,10,00,AMP
134,00:10:00,N,5,16.775,b,IS_gRNAs,,r17Ar3C,RNAseT,no_gRNA,IS6110_A7,none,none,00,10,00,AMP
135,00:10:00,A,7,729.706,a,AMP_standard,1.25,,,,,,,00,10,00,AMP
136,00:10:00,B,7,746.48,b,AMP_standard,1.25,,,,,,,00,10,00,AMP
137,00:10:00,C,7,712.931,c,AMP_standard,1.25,,,,,,,00,10,00,AMP
138,00:10:00,E,7,8082.678,a,AMP_background,,r17Ar3C,RNAseT,syn_11C,target_added,human_HEK293,0ng,00,10,00,AMP
139,00:10:00,G,7,120.22,a,AMP_background,,r17Ar3C,RNAseT,syn_11C,no_target,CRE_RR013,0ng,00,10,00,AMP
140,00:10:00,I,7,111.832,b,AMP_background,,r17Ar3C,RNAseT,syn_11C,no_target,human_HEK293,0ng,00,10,00,AMP
141,00:10:00,K,7,6491.864,c,AMP_background,,r17Ar3C,RNAseT,syn_11C,target_added,CRE_RR013,0ng,00,10,00,AMP
142,00:10:00,M,7,22.366,a,IS_gRNAs,,r17Ar3C,RNAseT,IS6110_A7,no_target,none,none,00,10,00,AMP
143,00:10:00,N,7,27.958,b,IS_gRNAs,,r17Ar3C,RNAseT,IS6110_A7,no_target,none,none,00,10,00,AMP
144,00:10:00,A,9,164.953,a,AMP_standard,0.625,,,,,,,00,10,00,AMP
145,00:10:00,B,9,198.502,b,AMP_standard,0.625,,,,,,,00,10,00,AMP
146,00:10:00,C,9,201.298,c,AMP_standard,0.625,,,,,,,00,10,00,AMP
147,00:10:00,E,9,3069.796,a,AMP_background,,r17Ar3C,RNAseT,syn_11C,target_added,CRE_RR013,400ng,00,10,00,AMP
148,00:10:00,G,9,8538.394,b,AMP_background,,r17Ar3C,RNAseT,syn_11C,target_added,human_HEK293,400ng,00,10,00,AMP
149,00:10:00,I,9,164.953,b,AMP_background,,r17Ar3C,RNAseT,syn_11C,no_target,CRE_RR013,400ng,00,10,00,AMP
150,00:10:00,K,9,181.727,c,AMP_background,,r17Ar3C,RNAseT,syn_11C,no_target,human_HEK293,400ng,00,10,00,AMP
151,00:10:00,M,9,44.733,a,IS_gRNAs,,r17Ar3C,RNAseT,IS6110_A7,IS1081_H6,none,none,00,10,00,AMP
152,00:10:00,N,9,19.571,b,IS_gRNAs,,r17Ar3C,RNAseT,IS6110_A7,IS1081_H6,none,none,00,10,00,AMP
153,00:10:00,A,11,75.487,a,AMP_standard,0.3125,,,,,,,00,10,00,AMP
154,00:10:00,B,11,53.12,b,AMP_standard,0.3125,,,,,,,00,10,00,AMP
155,00:10:00,C,11,67.099,c,AMP_standard,0.3125,,,,,,,00,10,00,AMP
156,00:10:00,E,11,6335.298,a,AMP_background,,r17Ar3C,RNAseT,syn_11C,target_added,CRE_RR013,40ng,00,10,00,AMP
157,00:10:00,G,11,8773.242,b,AMP_background,,r17Ar3C,RNAseT,syn_11C,target_added,human_HEK293,40ng,00,10,00,AMP
158,00:10:00,I,11,120.22,b,AMP_background,,r17Ar3C,RNAseT,syn_11C,no_target,CRE_RR013,40ng,00,10,00,AMP
159,00:10:00,K,11,109.036,c,AMP_background,,r17Ar3C,RNAseT,syn_11C,no_target,human_HEK293,40ng,00,10,00,AMP
160,00:10:00,M,11,19.571,a,IS_gRNAs,,r17Ar3C,no_RNAseT,IS6110_A7,IS6110_A7,none,none,00,10,00,AMP
161,00:10:00,N,11,16.775,b,IS_gRNAs,,r17Ar3C,no_RNAseT,IS6110_A7,IS6110_A7,none,none,00,10,00,AMP
162,00:10:00,A,13,11.183,a,AMP_standard,0.15625,,,,,,,00,10,00,AMP
163,00:10:00,B,13,30.754,b,AMP_standard,0.15625,,,,,,,00,10,00,AMP
164,00:10:00,C,13,33.55,c,AMP_standard,0.15625,,,,,,,00,10,00,AMP
165,00:10:00,E,13,7017.475,a,AMP_background,,r17Ar3C,RNAseT,syn_11C,target_added,CRE_RR013,4ng,00,10,00,AMP
166,00:10:00,G,13,10489.867,b,AMP_background,,r17Ar3C,RNAseT,syn_11C,target_added,human_HEK293,4ng,00,10,00,AMP
167,00:10:00,I,13,162.157,b,AMP_background,,r17Ar3C,RNAseT,syn_11C,no_target,CRE_RR013,4ng,00,10,00,AMP
168,00:10:00,K,13,215.277,c,AMP_background,,r17Ar3C,RNAseT,syn_11C,no_target,human_HEK293,4ng,00,10,00,AMP
169,00:10:00,M,13,2356.865,a,IS_gRNAs,,r17Ar3C,RNAseT,IS1081_H6,IS1081_H6,none,none,00,10,00,AMP
170,00:10:00,N,13,1090.365,b,IS_gRNAs,,r17Ar3C,RNAseT,IS1081_H6,IS1081_H6,none,none,00,10,00,AMP
171,00:10:00,A,15,25.162,a,AMP_standard,0.078125,,,,,,,00,10,00,AMP
172,00:10:00,B,15,22.366,b,AMP_standard,0.078125,,,,,,,00,10,00,AMP
173,00:10:00,C,15,19.571,c,AMP_standard,0.078125,,,,,,,00,10,00,AMP
174,00:10:00,E,15,7065.004,a,AMP_background,,r17Ar3C,RNAseT,syn_11C,target_added,CRE_RR013,0ng,00,10,00,AMP
175,00:10:00,G,15,10229.857,b,AMP_background,,r17Ar3C,RNAseT,syn_11C,target_added,human_HEK293,0ng,00,10,00,AMP
176,00:10:00,I,15,167.748,b,AMP_background,,r17Ar3C,RNAseT,syn_11C,no_target,CRE_RR013,0ng,00,10,00,AMP
177,00:10:00,K,15,125.811,c,AMP_background,,r17Ar3C,RNAseT,syn_11C,no_target,human_HEK293,0ng,00,10,00,AMP
178,00:10:00,M,15,170.544,a,IS_gRNAs,,no_reporter,RNAseT,IS1081_H6,IS1081_H6,none,none,00,10,00,AMP
179,00:10:00,N,15,97.853,b,IS_gRNAs,,no_reporter,RNAseT,IS1081_H6,IS1081_H6,none,none,00,10,00,AMP
180,00:10:00,A,17,33.55,a,AMP_standard,0.0390625,,,,,,,00,10,00,AMP
181,00:10:00,B,17,11.183,b,AMP_standard,0.0390625,,,,,,,00,10,00,AMP
182,00:10:00,C,17,19.571,c,AMP_standard,0.0390625,,,,,,,00,10,00,AMP
183,00:10:00,E,17,100.649,a,AMP_background,,r17Ar3C,RNAseT,syn_11C,no_target,human_HEK293,400ng,00,10,00,AMP
184,00:10:00,G,17,4126.611,b,AMP_background,,r17Ar3C,RNAseT,syn_11C,target_added,CRE_RR013,400ng,00,10,00,AMP
185,00:10:00,I,17,7148.878,c,AMP_background,,r17Ar3C,RNAseT,syn_11C,target_added,human_HEK293,400ng,00,10,00,AMP
186,00:10:00,K,17,162.157,c,AMP_background,,r17Ar3C,RNAseT,syn_11C,no_target,CRE_RR013,400ng,00,10,00,AMP
