,Unnamed: 0,time,row_384,column_384,rfu_value,replicate,gRNA,target,cas12a,hours,minutes,seconds
182,182,00:30:00,C,19,376.726,a,syn_11C,50,IDT-Cas12a,00,30,00
183,183,00:30:00,D,19,3.576,a,syn_11C,0,IDT-Cas12a,00,30,00
184,184,00:30:00,A,21,334.898,b,syn_11C,50,NEB-Cas12a,00,30,00
185,185,00:30:00,B,21,4.047,b,syn_11C,0,NEB-Cas12a,00,30,00
186,186,00:30:00,C,21,364.6,b,syn_11C,50,IDT-Cas12a,00,30,00
187,187,00:30:00,D,21,3.557,b,syn_11C,0,IDT-Cas12a,00,30,00
188,188,00:30:00,A,23,296.439,c,syn_11C,50,NEB-Cas12a,00,30,00
189,189,00:30:00,B,23,4.075,c,syn_11C,0,NEB-Cas12a,00,30,00
190,190,00:30:00,C,23,327.027,c,syn_11C,50,IDT-Cas12a,00,30,00
191,191,00:30:00,D,23,3.145,c,syn_11C,0,IDT-Cas12a,00,30,00
192,192,00:40:00,A,1,394.753,a,alt-R_11C,500,NEB-Cas12a,00,40,00
193,193,00:40:00,B,1,134.96200000000002,a,alt-R_11C,5,NEB-Cas12a,00,40,00
194,194,00:40:00,C,1,403.215,a,alt-R_11C,500,IDT-Cas12a,00,40,00
195,195,00:40:00,D,1,212.148,a,alt-R_11C,5,IDT-Cas12a,00,40,00
196,196,00:40:00,A,3,395.253,b,alt-R_11C,500,NEB-Cas12a,00,40,00
197,197,00:40:00,B,3,150.827,b,alt-R_11C,5,NEB-Cas12a,00,40,00
198,198,00:40:00,C,3,408.348,b,alt-R_11C,500,IDT-Cas12a,00,40,00
199,199,00:40:00,D,3,214.632,b,alt-R_11C,5,IDT-Cas12a,00,40,00
200,200,00:40:00,A,5,399.595,c,alt-R_11C,500,NEB-Cas12a,00,40,00
201,201,00:40:00,B,5,141.137,c,alt-R_11C,5,NEB-Cas12a,00,40,00
202,202,00:40:00,C,5,396.093,c,alt-R_11C,500,IDT-Cas12a,00,40,00
203,203,00:40:00,D,5,279.531,c,alt-R_11C,5,IDT-Cas12a,00,40,00
204,204,00:40:00,A,7,366.34,a,syn_11C,500,NEB-Cas12a,00,40,00
205,205,00:40:00,B,7,112.153,a,syn_11C,5,NEB-Cas12a,00,40,00
206,206,00:40:00,C,7,391.78,a,syn_11C,500,IDT-Cas12a,00,40,00
207,207,00:40:00,D,7,217.437,a,syn_11C,5,IDT-Cas12a,00,40,00
208,208,00:40:00,A,9,401.789,b,syn_11C,500,NEB-Cas12a,00,40,00
209,209,00:40:00,B,9,114.113,b,syn_11C,5,NEB-Cas12a,00,40,00
210,210,00:40:00,C,9,411.737,b,syn_11C,500,IDT-Cas12a,00,40,00
211,211,00:40:00,D,9,216.136,b,syn_11C,5,IDT-Cas12a,00,40,00
212,212,00:40:00,A,11,389.805,c,syn_11C,500,NEB-Cas12a,00,40,00
213,213,00:40:00,B,11,109.453,c,syn_11C,5,NEB-Cas12a,00,40,00
214,214,00:40:00,C,11,402.679,c,syn_11C,500,IDT-Cas12a,00,40,00
215,215,00:40:00,D,11,225.703,c,syn_11C,5,IDT-Cas12a,00,40,00
216,216,00:40:00,A,13,393.849,a,alt-R_11C,50,NEB-Cas12a,00,40,00
217,217,00:40:00,B,13,3.971,a,alt-R_11C,0,NEB-Cas12a,00,40,00
218,218,00:40:00,C,13,401.99300000000005,a,alt-R_11C,50,IDT-Cas12a,00,40,00
219,219,00:40:00,D,13,3.963,a,alt-R_11C,0,IDT-Cas12a,00,40,00
220,220,00:40:00,A,15,395.029,b,alt-R_11C,50,NEB-Cas12a,00,40,00
221,221,00:40:00,B,15,3.917,b,alt-R_11C,0,NEB-Cas12a,00,40,00
222,222,00:40:00,C,15,393.32,b,alt-R_11C,50,IDT-Cas12a,00,40,00
223,223,00:40:00,D,15,3.752,b,alt-R_11C,0,IDT-Cas12a,00,40,00
224,224,00:40:00,A,17,411.807,c,alt-R_11C,50,NEB-Cas12a,00,40,00
225,225,00:40:00,B,17,4.307,c,alt-R_11C,0,NEB-Cas12a,00,40,00
226,226,00:40:00,C,17,417.336,c,alt-R_11C,50,IDT-Cas12a,00,40,00
227,227,00:40:00,D,17,3.787,c,alt-R_11C,0,IDT-Cas12a,00,40,00
228,228,00:40:00,A,19,358.59,a,syn_11C,50,NEB-Cas12a,00,40,00
229,229,00:40:00,B,19,4.011,a,syn_11C,0,NEB-Cas12a,00,40,00
230,230,00:40:00,C,19,379.526,a,syn_11C,50,IDT-Cas12a,00,40,00
231,231,00:40:00,D,19,3.555,a,syn_11C,0,IDT-Cas12a,00,40,00
232,232,00:40:00,A,21,347.542,b,syn_11C,50,NEB-Cas12a,00,40,00
233,233,00:40:00,B,21,3.997,b,syn_11C,0,NEB-Cas12a,00,40,00
234,234,00:40:00,C,21,366.679,b,syn_11C,50,IDT-Cas12a,00,40,00
235,235,00:40:00,D,21,3.621,b,syn_11C,0,IDT-Cas12a,00,40,00
236,236,00:40:00,A,23,312.849,c,syn_11C,50,NEB-Cas12a,00,40,00
237,237,00:40:00,B,23,4.329,c,syn_11C,0,NEB-Cas12a,00,40,00
238,238,00:40:00,C,23,329.34,c,syn_11C,50,IDT-Cas12a,00,40,00
239,239,00:40:00,D,23,3.385,c,syn_11C,0,IDT-Cas12a,00,40,00
240,240,00:50:00,A,1,389.83,a,alt-R_11C,500,NEB-Cas12a,00,50,00
241,241,00:50:00,B,1,166.791,a,alt-R_11C,5,NEB-Cas12a,00,50,00
242,242,00:50:00,C,1,398.771,a,alt-R_11C,500,IDT-Cas12a,00,50,00
243,243,00:50:00,D,1,255.282,a,alt-R_11C,5,IDT-Cas12a,00,50,00
244,244,00:50:00,A,3,393.966,b,alt-R_11C,500,NEB-Cas12a,00,50,00
245,245,00:50:00,B,3,187.58900000000003,b,alt-R_11C,5,NEB-Cas12a,00,50,00
246,246,00:50:00,C,3,401.87,b,alt-R_11C,500,IDT-Cas12a,00,50,00
247,247,00:50:00,D,3,254.188,b,alt-R_11C,5,IDT-Cas12a,00,50,00
