,time,row_384,column_384,rfu_value,replicate,sample_set,standard_conc,hours,minutes,seconds
234,00:40:00,E,21,20.555,a,20uL,0.0097656,00,40,00
235,00:40:00,G,21,16.818,b,20uL,0.0097656,00,40,00
236,00:40:00,A,23,21.489,a,100uL,0,00,40,00
237,00:40:00,C,23,24.292,b,100uL,0,00,40,00
238,00:40:00,E,23,24.292,a,20uL,0,00,40,00
239,00:40:00,G,23,17.752,b,20uL,0,00,40,00
240,00:50:00,A,1,8892.218,a,100uL,10,00,50,00
241,00:50:00,C,1,12829.401,b,100uL,10,00,50,00
242,00:50:00,E,1,2428.116,a,20uL,10,00,50,00
243,00:50:00,G,1,2934.246,b,20uL,10,00,50,00
244,00:50:00,A,3,8223.904,a,100uL,5,00,50,00
245,00:50:00,C,3,8590.219,b,100uL,5,00,50,00
246,00:50:00,E,3,1446.617,a,20uL,5,00,50,00
247,00:50:00,G,3,1513.728,b,20uL,5,00,50,00
248,00:50:00,A,5,3505.622,a,100uL,2.5,00,50,00
249,00:50:00,C,5,3535.449,b,100uL,2.5,00,50,00
250,00:50:00,E,5,638.487,a,20uL,2.5,00,50,00
251,00:50:00,G,5,603.068,b,20uL,2.5,00,50,00
252,00:50:00,A,7,1254.604,a,100uL,1.25,00,50,00
253,00:50:00,C,7,1290.024,b,100uL,1.25,00,50,00
254,00:50:00,E,7,208.79,a,20uL,1.25,00,50,00
255,00:50:00,G,7,237.685,b,20uL,1.25,00,50,00
256,00:50:00,A,9,421.308,a,100uL,0.625,00,50,00
257,00:50:00,C,9,421.308,b,100uL,0.625,00,50,00
258,00:50:00,E,9,69.907,a,20uL,0.625,00,50,00
259,00:50:00,G,9,87.617,b,20uL,0.625,00,50,00
260,00:50:00,A,11,123.969,a,100uL,0.3125,00,50,00
261,00:50:00,C,11,154.728,b,100uL,0.3125,00,50,00
262,00:50:00,E,11,31.691,a,20uL,0.3125,00,50,00
263,00:50:00,G,11,38.216,b,20uL,0.3125,00,50,00
264,00:50:00,A,13,47.537,a,100uL,0.15625,00,50,00
265,00:50:00,C,13,77.364,b,100uL,0.15625,00,50,00
266,00:50:00,E,13,13.981,a,20uL,0.15625,00,50,00
267,00:50:00,G,13,13.049,b,20uL,0.15625,00,50,00
268,00:50:00,A,15,25.167,a,100uL,0.078125,00,50,00
269,00:50:00,C,15,13.981,b,100uL,0.078125,00,50,00
270,00:50:00,E,15,8.389,a,20uL,0.078125,00,50,00
271,00:50:00,G,15,15.846,b,20uL,0.078125,00,50,00
272,00:50:00,A,17,8.389,a,100uL,0.0390625,00,50,00
273,00:50:00,C,17,16.778,b,100uL,0.0390625,00,50,00
274,00:50:00,E,17,7.457,a,20uL,0.0390625,00,50,00
275,00:50:00,G,17,13.981,b,20uL,0.0390625,00,50,00
276,00:50:00,A,19,21.438,a,100uL,0.0195312,00,50,00
277,00:50:00,C,19,28.895,b,100uL,0.0195312,00,50,00
278,00:50:00,E,19,9.321,a,20uL,0.0195312,00,50,00
279,00:50:00,G,19,16.778,b,20uL,0.0195312,00,50,00
280,00:50:00,A,21,13.981,a,100uL,0.0097656,00,50,00
