,PlateNumber,PlateRepeat,Barcode,Group,Well,Sample,Label,Kinetic,ScanX,ScanY,MeasInfo,Wavelength,MeasTime,Signal,Flashes/Time,Result,Formula,Unnamed: 17,replicate,standard_conc,kit,sample_set,row_384,column_384
104,1,1.0,"=""=""""""""""""""""",1.0,C05,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:10.304,80448.0,0.1,804480.0,,,b,2.5,AMP,AMP_standard,C,05
106,1,1.0,"=""=""""""""""""""""",1.0,C06,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:10.498,16512.0,0.1,165120.0,,,water,water,water,water,C,06
108,1,1.0,"=""=""""""""""""""""",1.0,C07,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:10.692,38400.0,0.1,384000.0,,,b,1.25,AMP,AMP_standard,C,07
110,1,1.0,"=""=""""""""""""""""",1.0,C08,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:10.886,8980.0,0.1,89800.0,,,water,water,water,water,C,08
112,1,1.0,"=""=""""""""""""""""",1.0,C09,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:11.079,15868.0,0.1,158680.0,,,b,0.6125,AMP,AMP_standard,C,09
114,1,1.0,"=""=""""""""""""""""",1.0,C10,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:11.273,4088.0,0.1,40880.0,,,water,water,water,water,C,10
116,1,1.0,"=""=""""""""""""""""",1.0,C11,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:11.467,10056.0,0.1,100560.0,,,b,0.3125,AMP,AMP_standard,C,11
118,1,1.0,"=""=""""""""""""""""",1.0,C12,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:11.660,2152.0,0.1,21520.0,,,water,water,water,water,C,12
120,1,1.0,"=""=""""""""""""""""",1.0,C13,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:11.855,6636.0,0.1,66360.0,,,b,0.15625,AMP,AMP_standard,C,13
122,1,1.0,"=""=""""""""""""""""",1.0,C14,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:12.047,1188.0,0.1,11880.0,,,water,water,water,water,C,14
