,Unnamed: 0,time,row_384,column_384,rfu_value,sample_set,standard_conc,gRNA_used,replicate,reporter
188,188,00:30:00,A,24,52.732,standard,0,standard,a,DNA-RNA-Luc
189,189,00:30:00,B,24,79.098,standard,0,standard,b,DNA-RNA-Luc
190,190,00:30:00,C,24,178.704,no_target,,none,a,DNA-RNA-Luc
191,191,00:30:00,D,24,70.31,no_target,,none,b,DNA-RNA-Luc
192,192,00:40:00,A,2,6718.96,standard,10,standard,a,DNA-RNA-Luc
193,193,00:40:00,B,2,5781.227,standard,10,standard,b,DNA-RNA-Luc
194,194,00:40:00,C,2,189.884,target_added,,syn_11C,a,DNA-RNA-Luc
195,195,00:40:00,D,2,181.12,target_added,,syn_11C,b,DNA-RNA-Luc
196,196,00:40:00,A,4,4057.668,standard,5,standard,a,DNA-RNA-Luc
197,197,00:40:00,B,4,3949.58,standard,5,standard,b,DNA-RNA-Luc
198,198,00:40:00,C,4,3745.09,target_added,,IVT_11C,a,DNA-RNA-Luc
199,199,00:40:00,D,4,3482.1740000000004,target_added,,IVT_11C,b,DNA-RNA-Luc
200,200,00:40:00,A,6,1919.286,standard,2.5,standard,a,DNA-RNA-Luc
201,201,00:40:00,B,6,2001.082,standard,2.5,standard,b,DNA-RNA-Luc
202,202,00:40:00,C,6,5670.218000000002,target_added,,IVT_D9_3Cs,a,DNA-RNA-Luc
203,203,00:40:00,D,6,5903.9209999999985,target_added,,IVT_D9_3Cs,b,DNA-RNA-Luc
204,204,00:40:00,A,8,888.071,standard,1.25,standard,a,DNA-RNA-Luc
205,205,00:40:00,B,8,803.3539999999998,standard,1.25,standard,b,DNA-RNA-Luc
206,206,00:40:00,C,8,157.75,target_added,,none,a,DNA-RNA-Luc
207,207,00:40:00,D,8,78.875,target_added,,none,b,DNA-RNA-Luc
208,208,00:40:00,A,10,411.901,standard,0.625,standard,a,DNA-RNA-Luc
209,209,00:40:00,B,10,508.304,standard,0.625,standard,b,DNA-RNA-Luc
210,210,00:40:00,C,10,160.671,no_cas12a,,syn_11C,a,DNA-RNA-Luc
211,211,00:40:00,D,10,81.796,no_cas12a,,syn_11C,b,DNA-RNA-Luc
212,212,00:40:00,A,12,184.041,standard,0.3125,standard,a,DNA-RNA-Luc
